session_id,app_start_time,game_id,level_of_difficulty_type_id,level_of_difficulty_type,low_range,high_range,range_size,winning_number,game_start_time,total_guesses,total_hints,total_guess_errors,guess_id,hint_type_id,hint_type,hint,hint_number,guess_entry_time,avg_guess_time,positive_feedback_percent,guess,feedback,guess_error
21,2022-01-12 08:24:21,29.0,1.0,easy,1,10,10,2.0,2022-01-12 08:24:45,6.0,6.0,0,88.0,2.0,multiple,Nice try!  Hint: 8 is a multiple.,1.0,2022-01-12 08:24:49,0.0,0.5,5,,0.0
21,2022-01-12 08:24:21,29.0,1.0,easy,1,10,10,2.0,2022-01-12 08:24:45,6.0,6.0,0,89.0,4.0,even_odd,Nice try!  Hint: It is an even number.,2.0,2022-01-12 08:24:50,0.0,0.4444444444444444,5,bad,0.0
21,2022-01-12 08:24:21,29.0,1.0,easy,1,10,10,2.0,2022-01-12 08:24:45,6.0,6.0,0,90.0,9.0,greater_less,Nice try!  Lower.,3.0,2022-01-12 08:24:51,0.0,0.4444444444444444,5,,0.0
21,2022-01-12 08:24:21,29.0,1.0,easy,1,10,10,2.0,2022-01-12 08:24:45,6.0,6.0,0,91.0,9.0,greater_less,Nice try!  Lower.,4.0,2022-01-12 08:25:00,0.0,0.4444444444444444,5,,0.0
21,2022-01-12 08:24:21,29.0,1.0,easy,1,10,10,2.0,2022-01-12 08:24:45,6.0,6.0,0,92.0,9.0,greater_less,Nice try!  Lower.,5.0,2022-01-12 08:25:04,0.0,0.4444444444444444,1,,0.0
21,2022-01-12 08:24:21,29.0,1.0,easy,1,10,10,2.0,2022-01-12 08:24:45,6.0,6.0,0,93.0,9.0,greater_less,Nice try!  Lower.,6.0,2022-01-12 08:25:09,0.0,0.4444444444444444,1,,0.0
25,2022-01-12 08:37:58,35.0,1.0,easy,1,10,10,4.0,2022-01-12 08:38:02,6.0,6.0,0,119.0,3.0,prime,Nice try!  Hint: It has 1 prime factor(s).,1.0,2022-01-12 08:38:06,0.0,,5,,0.0
25,2022-01-12 08:37:58,35.0,1.0,easy,1,10,10,4.0,2022-01-12 08:38:02,6.0,6.0,0,120.0,5.0,perfect_square,Nice try!  Hint: It is a perfect square.,2.0,2022-01-12 08:38:09,0.0,1.0,5,good,0.0
25,2022-01-12 08:37:58,35.0,1.0,easy,1,10,10,4.0,2022-01-12 08:38:02,6.0,6.0,0,121.0,2.0,multiple,Nice try!  Hint: 4 is a multiple.,3.0,2022-01-12 08:38:12,0.0,0.5,5,bad,0.0
25,2022-01-12 08:37:58,35.0,1.0,easy,1,10,10,4.0,2022-01-12 08:38:02,6.0,6.0,0,122.0,4.0,even_odd,Nice try!  Hint: It is an even number.,4.0,2022-01-12 08:38:16,0.0,0.3333333333333333,5,bad,0.0
