session_id,app_start_time,game_count,level_of_difficulty_type_id,level_of_difficulty_type,low_range,high_range,range_size,winning_number,game_start_time,total_guesses,total_hints,total_guess_errors,outcome_id,outcome_type_id,outcome_type,score,feedback_type,improvement_area_id,recommendation_type,game_end_time,total_duration,won,play_again
1,2022-01-12 06:27:41,2,1.0,easy,1,10,10,5.0,2022-01-12 06:27:51,3.0,2.0,0,1.0,1.0,win,80.0,,,,2022-01-12 06:28:12,21.0,1,1.0
1,2022-01-12 06:27:41,2,1.0,easy,1,10,10,10.0,2022-01-12 06:28:18,1.0,,0,2.0,1.0,win,100.0,,,,2022-01-12 06:28:23,5.0,1,0.0
2,2022-01-12 06:32:49,1,1.0,easy,1,10,10,9.0,2022-01-12 06:33:32,3.0,2.0,0,3.0,1.0,win,80.0,,,,2022-01-12 06:37:06,214.0,1,0.0
3,2022-01-12 06:39:28,1,1.0,easy,1,10,10,5.0,2022-01-12 06:39:33,3.0,2.0,0,4.0,1.0,win,80.0,,,,2022-01-12 06:39:59,26.0,1,0.0
4,2022-01-12 06:54:29,1,1.0,easy,1,10,10,8.0,2022-01-12 06:54:34,3.0,2.0,0,5.0,1.0,win,80.0,,,,2022-01-12 06:54:53,19.0,1,0.0
5,2022-01-12 07:03:50,2,1.0,easy,1,10,10,2.0,2022-01-12 07:03:59,3.0,2.0,0,6.0,1.0,win,80.0,,,,2022-01-12 07:04:17,18.0,1,1.0
5,2022-01-12 07:03:50,2,1.0,easy,1,10,10,5.0,2022-01-12 07:04:21,3.0,2.0,0,7.0,1.0,win,80.0,,,,2022-01-12 07:04:40,19.0,1,0.0
6,2022-01-12 07:15:10,4,1.0,easy,1,10,10,9.0,2022-01-12 07:15:14,2.0,1.0,0,8.0,1.0,win,90.0,,,,2022-01-12 07:15:26,12.0,1,1.0
6,2022-01-12 07:15:10,4,2.0,medium,1,100,100,64.0,2022-01-12 07:15:33,2.0,1.0,0,9.0,1.0,win,80.0,,,,2022-01-12 07:15:56,23.0,1,1.0
6,2022-01-12 07:15:10,4,2.0,medium,1,100,100,63.0,2022-01-12 07:16:02,2.0,1.0,0,10.0,1.0,win,80.0,,,,2022-01-12 07:16:17,15.000000000000002,1,1.0
6,2022-01-12 07:15:10,4,4.0,custom,-1000,1000,2001,911.0,2022-01-12 07:16:29,3.0,2.0,0,11.0,1.0,win,80.0,,,,2022-01-12 07:17:31,62.00000000000001,1,0.0
7,2022-01-12 07:26:53,2,4.0,custom,-1000,1000,2001,528.0,2022-01-12 07:27:03,6.0,6.0,0,12.0,3.0,quit,,,,,2022-01-12 07:31:27,264.0,0,1.0
7,2022-01-12 07:26:53,2,1.0,easy,1,10,10,2.0,2022-01-12 07:31:34,3.0,2.0,0,13.0,1.0,win,80.0,improvement,2.0,,2022-01-12 07:31:52,18.0,1,0.0
